Dátum,Gép,Kezdő időpont,Záró időpont,Megrendelésszám
2020.07.20.,Csomagoló-3,07:17,13:29,MEGR009
2020.07.20.,Csomagoló-3,13:29,22:00,MEGR008
2020.07.21.,Vágó-1,06:00,13:39,MEGR015
2020.07.21.,Vágó-1,13:39,15:57,MEGR010
2020.07.21.,Vágó-1,15:57,22:00,MEGR014
2020.07.21.,Vágó-2,06:00,13:39,MEGR015
2020.07.21.,Vágó-2,13:39,15:57,MEGR010
2020.07.21.,Vágó-2,15:57,22:00,MEGR014
2020.07.21.,Vágó-3,06:00,13:35,MEGR015
2020.07.21.,Vágó-3,13:35,15:59,MEGR010
2020.07.21.,Vágó-3,15:59,22:00,MEGR014
2020.07.21.,Vágó-4,06:00,13:35,MEGR015
2020.07.21.,Vágó-4,13:35,15:59,MEGR010
2020.07.21.,Vágó-4,15:59,22:00,MEGR014
2020.07.21.,Vágó-5,06:00,13:36,MEGR015
2020.07.21.,Vágó-5,13:36,16:00,MEGR010
2020.07.21.,Vágó-5,16:00,22:00,MEGR014
2020.07.21.,Vágó-6,06:00,13:36,MEGR015
2020.07.21.,Vágó-6,13:36,16:00,MEGR010
2020.07.21.,Vágó-6,16:00,22:00,MEGR014
2020.07.21.,Hajlító-1,06:00,22:00,MEGR008
2020.07.21.,Hajlító-2,06:00,22:00,MEGR008
2020.07.21.,Hegesztő-1,06:00,22:00,MEGR008
2020.07.21.,Hegesztő-2,06:00,22:00,MEGR008
2020.07.21.,Hegesztő-3,06:00,22:00,MEGR008
2020.07.21.,Tesztelő-1,06:00,22:00,MEGR008
2020.07.21.,Festő-1,06:00,22:00,MEGR008
2020.07.21.,Festő-2,06:00,22:00,MEGR008
2020.07.21.,Festő-3,06:00,22:00,MEGR008
2020.07.21.,Festő-4,06:00,22:00,MEGR008
2020.07.21.,Csomagoló-1,06:00,22:00,MEGR008
2020.07.21.,Csomagoló-2,06:00,22:00,MEGR008
2020.07.21.,Csomagoló-3,06:00,22:00,MEGR008
2020.07.22.,Vágó-1,06:00,17:47,MEGR014
2020.07.22.,Vágó-1,17:47,22:00,MEGR004
2020.07.22.,Vágó-2,06:00,17:47,MEGR014
2020.07.22.,Vágó-2,17:47,22:00,MEGR004
2020.07.22.,Vágó-3,06:00,17:44,MEGR014
2020.07.22.,Vágó-3,17:44,22:00,MEGR004
2020.07.22.,Vágó-4,06:00,17:44,MEGR014
2020.07.22.,Vágó-4,17:44,22:00,MEGR004
2020.07.22.,Vágó-5,06:00,17:45,MEGR014
2020.07.22.,Vágó-5,17:45,22:00,MEGR004
2020.07.22.,Vágó-6,06:00,17:45,MEGR014
2020.07.22.,Vágó-6,17:45,22:00,MEGR004
2020.07.22.,Hajlító-1,06:00,15:48,MEGR008
2020.07.22.,Hajlító-1,15:48,22:00,MEGR015
2020.07.22.,Hajlító-2,06:00,15:48,MEGR008
2020.07.22.,Hajlító-2,15:48,22:00,MEGR015
2020.07.22.,Hegesztő-1,06:00,15:56,MEGR008
2020.07.22.,Hegesztő-1,16:03,22:00,MEGR015
2020.07.22.,Hegesztő-2,06:00,15:46,MEGR008
2020.07.22.,Hegesztő-2,16:03,22:00,MEGR015
2020.07.22.,Hegesztő-3,06:00,15:56,MEGR008
2020.07.22.,Hegesztő-3,16:18,22:00,MEGR015
2020.07.22.,Tesztelő-1,06:00,16:10,MEGR008
2020.07.22.,Tesztelő-1,16:13,22:00,MEGR015
2020.07.22.,Festő-1,06:00,16:17,MEGR008
2020.07.22.,Festő-1,16:33,22:00,MEGR015
2020.07.22.,Festő-2,06:00,16:07,MEGR008
2020.07.22.,Festő-2,16:18,22:00,MEGR015
2020.07.22.,Festő-3,06:00,16:22,MEGR008
2020.07.22.,Festő-3,16:38,22:00,MEGR015
2020.07.22.,Festő-4,06:00,16:12,MEGR008
2020.07.22.,Festő-4,16:23,22:00,MEGR015
2020.07.22.,Csomagoló-1,06:00,16:32,MEGR008
2020.07.22.,Csomagoló-1,16:48,22:00,MEGR015
2020.07.22.,Csomagoló-2,06:00,16:22,MEGR008
2020.07.22.,Csomagoló-2,16:33,22:00,MEGR015
2020.07.22.,Csomagoló-3,06:00,16:27,MEGR008
2020.07.22.,Csomagoló-3,16:38,22:00,MEGR015
2020.07.23.,Vágó-1,06:00,22:00,MEGR004
2020.07.23.,Vágó-2,06:00,22:00,MEGR004
2020.07.23.,Vágó-3,06:00,22:00,MEGR004
2020.07.23.,Vágó-4,06:00,22:00,MEGR004
2020.07.23.,Vágó-5,06:00,22:00,MEGR004
2020.07.23.,Vágó-6,06:00,22:00,MEGR004
2020.07.23.,Hajlító-1,06:00,22:00,MEGR015
2020.07.23.,Hajlító-2,06:00,22:00,MEGR015
2020.07.23.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.23.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.23.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.23.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.23.,Festő-1,06:00,22:00,MEGR015
2020.07.23.,Festő-2,06:00,22:00,MEGR015
2020.07.23.,Festő-3,06:00,22:00,MEGR015
2020.07.23.,Festő-4,06:00,22:00,MEGR015
2020.07.23.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.23.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.23.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.24.,Vágó-1,06:00,07:55,MEGR004
2020.07.24.,Vágó-1,07:55,17:55,MEGR006
2020.07.24.,Vágó-1,17:55,22:00,MEGR003
2020.07.24.,Vágó-2,06:00,07:55,MEGR004
2020.07.24.,Vágó-2,07:55,17:55,MEGR006
2020.07.24.,Vágó-2,17:55,22:00,MEGR003
2020.07.24.,Vágó-3,06:00,08:00,MEGR004
2020.07.24.,Vágó-3,08:00,18:00,MEGR006
2020.07.24.,Vágó-3,18:00,22:00,MEGR003
2020.07.24.,Vágó-4,06:00,08:00,MEGR004
2020.07.24.,Vágó-4,08:00,18:00,MEGR006
2020.07.24.,Vágó-4,18:00,22:00,MEGR003
2020.07.24.,Vágó-5,06:00,08:01,MEGR004
2020.07.24.,Vágó-5,08:01,18:01,MEGR006
2020.07.24.,Vágó-5,18:01,22:00,MEGR003
2020.07.24.,Vágó-6,06:00,08:01,MEGR004
2020.07.24.,Vágó-6,08:01,18:01,MEGR006
2020.07.24.,Vágó-6,18:01,22:00,MEGR003
2020.07.24.,Hajlító-1,06:00,22:00,MEGR015
2020.07.24.,Hajlító-2,06:00,22:00,MEGR015
2020.07.24.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.24.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.24.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.24.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.24.,Festő-1,06:00,22:00,MEGR015
2020.07.24.,Festő-2,06:00,22:00,MEGR015
2020.07.24.,Festő-3,06:00,22:00,MEGR015
2020.07.24.,Festő-4,06:00,22:00,MEGR015
2020.07.24.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.24.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.24.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.25.,Vágó-1,06:00,06:07,MEGR003
2020.07.25.,Vágó-1,06:07,22:00,MEGR013
2020.07.25.,Vágó-2,06:00,06:07,MEGR003
2020.07.25.,Vágó-2,06:07,22:00,MEGR013
2020.07.25.,Vágó-3,06:00,06:12,MEGR003
2020.07.25.,Vágó-3,06:12,22:00,MEGR013
2020.07.25.,Vágó-4,06:00,06:12,MEGR003
2020.07.25.,Vágó-4,06:12,22:00,MEGR013
2020.07.25.,Vágó-5,06:00,06:07,MEGR003
2020.07.25.,Vágó-5,06:07,22:00,MEGR013
2020.07.25.,Vágó-6,06:00,06:07,MEGR003
2020.07.25.,Vágó-6,06:07,22:00,MEGR013
2020.07.25.,Hajlító-1,06:00,22:00,MEGR015
2020.07.25.,Hajlító-2,06:00,22:00,MEGR015
2020.07.25.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.25.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.25.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.25.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.25.,Festő-1,06:00,22:00,MEGR015
2020.07.25.,Festő-2,06:00,22:00,MEGR015
2020.07.25.,Festő-3,06:00,22:00,MEGR015
2020.07.25.,Festő-4,06:00,22:00,MEGR015
2020.07.25.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.25.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.25.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.26.,Vágó-1,06:00,13:03,MEGR013
2020.07.26.,Vágó-1,13:03,22:00,MEGR001
2020.07.26.,Vágó-2,06:00,13:03,MEGR013
2020.07.26.,Vágó-2,13:03,22:00,MEGR001
2020.07.26.,Vágó-3,06:00,13:00,MEGR013
2020.07.26.,Vágó-3,13:00,22:00,MEGR001
2020.07.26.,Vágó-4,06:00,13:00,MEGR013
2020.07.26.,Vágó-4,13:00,22:00,MEGR001
2020.07.26.,Vágó-5,06:00,13:03,MEGR013
2020.07.26.,Vágó-5,13:03,22:00,MEGR001
2020.07.26.,Vágó-6,06:00,13:03,MEGR013
2020.07.26.,Vágó-6,13:03,22:00,MEGR001
2020.07.26.,Hajlító-1,06:00,22:00,MEGR015
2020.07.26.,Hajlító-2,06:00,22:00,MEGR015
2020.07.26.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.26.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.26.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.26.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.26.,Festő-1,06:00,22:00,MEGR015
2020.07.26.,Festő-2,06:00,22:00,MEGR015
2020.07.26.,Festő-3,06:00,22:00,MEGR015
2020.07.26.,Festő-4,06:00,22:00,MEGR015
2020.07.26.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.26.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.26.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.27.,Vágó-1,06:00,10:58,MEGR001
2020.07.27.,Vágó-1,10:58,22:00,MEGR002
2020.07.27.,Vágó-2,06:00,10:58,MEGR001
2020.07.27.,Vágó-2,10:58,22:00,MEGR002
2020.07.27.,Vágó-3,06:00,10:55,MEGR001
2020.07.27.,Vágó-3,10:55,22:00,MEGR002
2020.07.27.,Vágó-4,06:00,10:55,MEGR001
2020.07.27.,Vágó-4,10:55,22:00,MEGR002
2020.07.27.,Vágó-5,06:00,10:53,MEGR001
2020.07.27.,Vágó-5,10:53,22:00,MEGR002
2020.07.27.,Vágó-6,06:00,10:53,MEGR001
2020.07.27.,Vágó-6,10:53,22:00,MEGR002
2020.07.27.,Hajlító-1,06:00,22:00,MEGR015
2020.07.27.,Hajlító-2,06:00,22:00,MEGR015
2020.07.27.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.27.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.27.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.27.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.27.,Festő-1,06:00,22:00,MEGR015
2020.07.27.,Festő-2,06:00,22:00,MEGR015
2020.07.27.,Festő-3,06:00,22:00,MEGR015
2020.07.27.,Festő-4,06:00,22:00,MEGR015
2020.07.27.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.27.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.27.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.28.,Vágó-1,06:00,21:38,MEGR002
2020.07.28.,Vágó-1,21:38,22:00,MEGR007
2020.07.28.,Vágó-2,06:00,21:38,MEGR002
2020.07.28.,Vágó-2,21:38,22:00,MEGR007
2020.07.28.,Vágó-3,06:00,21:35,MEGR002
2020.07.28.,Vágó-3,21:35,22:00,MEGR007
2020.07.28.,Vágó-4,06:00,21:35,MEGR002
2020.07.28.,Vágó-4,21:35,22:00,MEGR007
2020.07.28.,Vágó-5,06:00,21:33,MEGR002
2020.07.28.,Vágó-5,21:33,22:00,MEGR007
2020.07.28.,Vágó-6,06:00,21:33,MEGR002
2020.07.28.,Vágó-6,21:33,22:00,MEGR007
2020.07.28.,Hajlító-1,06:00,22:00,MEGR015
2020.07.28.,Hajlító-2,06:00,22:00,MEGR015
2020.07.28.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.28.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.28.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.28.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.28.,Festő-1,06:00,22:00,MEGR015
2020.07.28.,Festő-2,06:00,22:00,MEGR015
2020.07.28.,Festő-3,06:00,22:00,MEGR015
2020.07.28.,Festő-4,06:00,22:00,MEGR015
2020.07.28.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.28.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.28.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.29.,Vágó-1,06:00,22:00,MEGR007
2020.07.29.,Vágó-2,06:00,22:00,MEGR007
2020.07.29.,Vágó-3,06:00,22:00,MEGR007
2020.07.29.,Vágó-4,06:00,22:00,MEGR007
2020.07.29.,Vágó-5,06:00,22:00,MEGR007
2020.07.29.,Vágó-6,06:00,22:00,MEGR007
2020.07.29.,Hajlító-1,06:00,22:00,MEGR015
2020.07.29.,Hajlító-2,06:00,22:00,MEGR015
2020.07.29.,Hegesztő-1,06:00,22:00,MEGR015
2020.07.29.,Hegesztő-2,06:00,22:00,MEGR015
2020.07.29.,Hegesztő-3,06:00,22:00,MEGR015
2020.07.29.,Tesztelő-1,06:00,22:00,MEGR015
2020.07.29.,Festő-1,06:00,22:00,MEGR015
2020.07.29.,Festő-2,06:00,22:00,MEGR015
2020.07.29.,Festő-3,06:00,22:00,MEGR015
2020.07.29.,Festő-4,06:00,22:00,MEGR015
2020.07.29.,Csomagoló-1,06:00,22:00,MEGR015
2020.07.29.,Csomagoló-2,06:00,22:00,MEGR015
2020.07.29.,Csomagoló-3,06:00,22:00,MEGR015
2020.07.30.,Vágó-1,06:00,22:00,MEGR007
2020.07.30.,Vágó-2,06:00,22:00,MEGR007
2020.07.30.,Vágó-3,06:00,22:00,MEGR007
2020.07.30.,Vágó-4,06:00,22:00,MEGR007
2020.07.30.,Vágó-5,06:00,22:00,MEGR007
2020.07.30.,Vágó-6,06:00,22:00,MEGR007
2020.07.30.,Hajlító-1,06:00,12:48,MEGR015
2020.07.30.,Hajlító-1,12:48,22:00,MEGR010
2020.07.30.,Hajlító-2,06:00,12:48,MEGR015
2020.07.30.,Hajlító-2,12:48,22:00,MEGR010
2020.07.30.,Hegesztő-1,06:00,12:58,MEGR015
2020.07.30.,Hegesztő-1,13:03,22:00,MEGR010
2020.07.30.,Hegesztő-2,06:00,12:43,MEGR015
2020.07.30.,Hegesztő-2,13:03,22:00,MEGR010
2020.07.30.,Hegesztő-3,06:00,12:58,MEGR015
2020.07.30.,Hegesztő-3,13:18,22:00,MEGR010
2020.07.30.,Tesztelő-1,06:00,13:08,MEGR015
2020.07.30.,Tesztelő-1,13:13,22:00,MEGR010
2020.07.30.,Festő-1,06:00,13:18,MEGR015
2020.07.30.,Festő-1,13:33,22:00,MEGR010
2020.07.30.,Festő-2,06:00,13:03,MEGR015
2020.07.30.,Festő-2,13:18,22:00,MEGR010
2020.07.30.,Festő-3,06:00,13:23,MEGR015
2020.07.30.,Festő-3,13:38,22:00,MEGR010
2020.07.30.,Festő-4,06:00,13:08,MEGR015
2020.07.30.,Festő-4,13:23,22:00,MEGR010
2020.07.30.,Csomagoló-1,06:00,13:30,MEGR015
2020.07.30.,Csomagoló-1,13:38,22:00,MEGR010
2020.07.30.,Csomagoló-2,06:00,13:35,MEGR015
2020.07.30.,Csomagoló-2,13:48,22:00,MEGR010
2020.07.30.,Csomagoló-3,06:00,13:20,MEGR015
2020.07.30.,Csomagoló-3,13:33,22:00,MEGR010
2020.07.31.,Vágó-1,06:00,12:38,MEGR007
2020.07.31.,Vágó-1,12:38,22:00,MEGR012
2020.07.31.,Vágó-2,06:00,12:38,MEGR007
2020.07.31.,Vágó-2,12:38,22:00,MEGR012
2020.07.31.,Vágó-3,06:00,12:35,MEGR007
2020.07.31.,Vágó-3,12:35,22:00,MEGR012
2020.07.31.,Vágó-4,06:00,12:35,MEGR007
2020.07.31.,Vágó-4,12:35,22:00,MEGR012
2020.07.31.,Vágó-5,06:00,12:38,MEGR007
2020.07.31.,Vágó-5,12:38,22:00,MEGR012
2020.07.31.,Vágó-6,06:00,12:38,MEGR007
2020.07.31.,Vágó-6,12:38,22:00,MEGR012
2020.07.31.,Hajlító-1,06:00,14:33,MEGR010
2020.07.31.,Hajlító-1,14:33,22:00,MEGR014
2020.07.31.,Hajlító-2,06:00,14:33,MEGR010
2020.07.31.,Hajlító-2,14:33,22:00,MEGR014
2020.07.31.,Hegesztő-1,06:00,14:43,MEGR010
2020.07.31.,Hegesztő-1,14:43,22:00,MEGR014
2020.07.31.,Hegesztő-2,06:00,14:43,MEGR010
2020.07.31.,Hegesztő-2,14:53,22:00,MEGR014
2020.07.31.,Hegesztő-3,06:00,14:28,MEGR010
2020.07.31.,Hegesztő-3,14:43,22:00,MEGR014
2020.07.31.,Tesztelő-1,06:00,14:53,MEGR010
2020.07.31.,Tesztelő-1,14:53,22:00,MEGR014
2020.07.31.,Festő-1,06:00,14:48,MEGR010
2020.07.31.,Festő-1,14:58,22:00,MEGR014
2020.07.31.,Festő-2,06:00,15:03,MEGR010
2020.07.31.,Festő-2,15:08,22:00,MEGR014
2020.07.31.,Festő-3,06:00,14:53,MEGR010
2020.07.31.,Festő-3,15:03,22:00,MEGR014
2020.07.31.,Festő-4,06:00,15:08,MEGR010
2020.07.31.,Festő-4,15:13,22:00,MEGR014
2020.07.31.,Csomagoló-1,06:00,15:05,MEGR010
2020.07.31.,Csomagoló-1,15:10,22:00,MEGR014
2020.07.31.,Csomagoló-2,06:00,15:15,MEGR010
2020.07.31.,Csomagoló-2,15:15,22:00,MEGR014
2020.07.31.,Csomagoló-3,06:00,15:20,MEGR010
2020.07.31.,Csomagoló-3,15:25,22:00,MEGR014
2020.08.01.,Vágó-1,06:00,22:00,MEGR012
2020.08.01.,Vágó-2,06:00,22:00,MEGR012
2020.08.01.,Vágó-3,06:00,22:00,MEGR012
2020.08.01.,Vágó-4,06:00,22:00,MEGR012
2020.08.01.,Vágó-5,06:00,22:00,MEGR012
2020.08.01.,Vágó-6,06:00,22:00,MEGR012
2020.08.01.,Hajlító-1,06:00,22:00,MEGR014
2020.08.01.,Hajlító-2,06:00,22:00,MEGR014
2020.08.01.,Hegesztő-1,06:00,22:00,MEGR014
2020.08.01.,Hegesztő-2,06:00,22:00,MEGR014
2020.08.01.,Hegesztő-3,06:00,22:00,MEGR014
2020.08.01.,Tesztelő-1,06:00,22:00,MEGR014
2020.08.01.,Festő-1,06:00,22:00,MEGR014
2020.08.01.,Festő-2,06:00,22:00,MEGR014
2020.08.01.,Festő-3,06:00,22:00,MEGR014
2020.08.01.,Festő-4,06:00,22:00,MEGR014
2020.08.01.,Csomagoló-1,06:00,22:00,MEGR014
2020.08.01.,Csomagoló-2,06:00,22:00,MEGR014
2020.08.01.,Csomagoló-3,06:00,22:00,MEGR014
2020.08.02.,Vágó-1,06:00,22:00,MEGR012
2020.08.02.,Vágó-2,06:00,22:00,MEGR012
2020.08.02.,Vágó-3,06:00,22:00,MEGR012
2020.08.02.,Vágó-4,06:00,22:00,MEGR012
2020.08.02.,Vágó-5,06:00,22:00,MEGR012
2020.08.02.,Vágó-6,06:00,22:00,MEGR012
2020.08.02.,Hajlító-1,06:00,22:00,MEGR014
2020.08.02.,Hajlító-2,06:00,22:00,MEGR014
2020.08.02.,Hegesztő-1,06:00,22:00,MEGR014
2020.08.02.,Hegesztő-2,06:00,22:00,MEGR014
2020.08.02.,Hegesztő-3,06:00,22:00,MEGR014
2020.08.02.,Tesztelő-1,06:00,22:00,MEGR014
2020.08.02.,Festő-1,06:00,22:00,MEGR014
2020.08.02.,Festő-2,06:00,22:00,MEGR014
2020.08.02.,Festő-3,06:00,22:00,MEGR014
2020.08.02.,Festő-4,06:00,22:00,MEGR014
2020.08.02.,Csomagoló-1,06:00,22:00,MEGR014
2020.08.02.,Csomagoló-2,06:00,22:00,MEGR014
2020.08.02.,Csomagoló-3,06:00,22:00,MEGR014
2020.08.03.,Vágó-1,06:00,22:00,MEGR012
2020.08.03.,Vágó-2,06:00,22:00,MEGR012
2020.08.03.,Vágó-3,06:00,22:00,MEGR012
2020.08.03.,Vágó-4,06:00,22:00,MEGR012
2020.08.03.,Vágó-5,06:00,22:00,MEGR012
2020.08.03.,Vágó-6,06:00,22:00,MEGR012
2020.08.03.,Hajlító-1,06:00,22:00,MEGR014
2020.08.03.,Hajlító-2,06:00,22:00,MEGR014
2020.08.03.,Hegesztő-1,06:00,22:00,MEGR014
2020.08.03.,Hegesztő-2,06:00,22:00,MEGR014
2020.08.03.,Hegesztő-3,06:00,22:00,MEGR014
2020.08.03.,Tesztelő-1,06:00,22:00,MEGR014
2020.08.03.,Festő-1,06:00,22:00,MEGR014
2020.08.03.,Festő-2,06:00,22:00,MEGR014
2020.08.03.,Festő-3,06:00,22:00,MEGR014
2020.08.03.,Festő-4,06:00,22:00,MEGR014
2020.08.03.,Csomagoló-1,06:00,22:00,MEGR014
2020.08.03.,Csomagoló-2,06:00,22:00,MEGR014
2020.08.03.,Csomagoló-3,06:00,22:00,MEGR014
2020.08.04.,Vágó-1,06:00,16:08,MEGR012
2020.08.04.,Vágó-1,16:08,22:00,MEGR011
2020.08.04.,Vágó-2,06:00,16:08,MEGR012
2020.08.04.,Vágó-2,16:08,22:00,MEGR011
2020.08.04.,Vágó-3,06:00,16:05,MEGR012
2020.08.04.,Vágó-3,16:05,22:00,MEGR011
2020.08.04.,Vágó-4,06:00,16:05,MEGR012
2020.08.04.,Vágó-4,16:05,22:00,MEGR011
2020.08.04.,Vágó-5,06:00,16:08,MEGR012
2020.08.04.,Vágó-5,16:08,22:00,MEGR011
2020.08.04.,Vágó-6,06:00,16:08,MEGR012
2020.08.04.,Vágó-6,16:08,22:00,MEGR011
2020.08.04.,Hajlító-1,06:00,22:00,MEGR014
2020.08.04.,Hajlító-2,06:00,22:00,MEGR014
2020.08.04.,Hegesztő-1,06:00,22:00,MEGR014
2020.08.04.,Hegesztő-2,06:00,22:00,MEGR014
2020.08.04.,Hegesztő-3,06:00,22:00,MEGR014
2020.08.04.,Tesztelő-1,06:00,22:00,MEGR014
2020.08.04.,Festő-1,06:00,22:00,MEGR014
2020.08.04.,Festő-2,06:00,22:00,MEGR014
2020.08.04.,Festő-3,06:00,22:00,MEGR014
2020.08.04.,Festő-4,06:00,22:00,MEGR014
2020.08.04.,Csomagoló-1,06:00,22:00,MEGR014
2020.08.04.,Csomagoló-2,06:00,22:00,MEGR014
2020.08.04.,Csomagoló-3,06:00,22:00,MEGR014
2020.08.05.,Vágó-1,06:00,22:00,MEGR011
2020.08.05.,Vágó-2,06:00,22:00,MEGR011
2020.08.05.,Vágó-3,06:00,22:00,MEGR011
2020.08.05.,Vágó-4,06:00,22:00,MEGR011
2020.08.05.,Vágó-5,06:00,22:00,MEGR011
2020.08.05.,Vágó-6,06:00,22:00,MEGR011
2020.08.05.,Hajlító-1,06:00,22:00,MEGR014
2020.08.05.,Hajlító-2,06:00,22:00,MEGR014
2020.08.05.,Hegesztő-1,06:00,22:00,MEGR014
2020.08.05.,Hegesztő-2,06:00,22:00,MEGR014
2020.08.05.,Hegesztő-3,06:00,22:00,MEGR014
2020.08.05.,Tesztelő-1,06:00,22:00,MEGR014
2020.08.05.,Festő-1,06:00,22:00,MEGR014
2020.08.05.,Festő-2,06:00,22:00,MEGR014
2020.08.05.,Festő-3,06:00,22:00,MEGR014
2020.08.05.,Festő-4,06:00,22:00,MEGR014
2020.08.05.,Csomagoló-1,06:00,22:00,MEGR014
2020.08.05.,Csomagoló-2,06:00,22:00,MEGR014
2020.08.05.,Csomagoló-3,06:00,22:00,MEGR014
2020.08.06.,Vágó-1,06:00,22:00,MEGR011
2020.08.06.,Vágó-2,06:00,22:00,MEGR011
2020.08.06.,Vágó-3,06:00,22:00,MEGR011
2020.08.06.,Vágó-4,06:00,22:00,MEGR011
2020.08.06.,Vágó-5,06:00,22:00,MEGR011
2020.08.06.,Vágó-6,06:00,22:00,MEGR011
2020.08.06.,Hajlító-1,06:00,22:00,MEGR014
2020.08.06.,Hajlító-2,06:00,22:00,MEGR014
2020.08.06.,Hegesztő-1,06:00,22:00,MEGR014
2020.08.06.,Hegesztő-2,06:00,22:00,MEGR014
2020.08.06.,Hegesztő-3,06:00,22:00,MEGR014
2020.08.06.,Tesztelő-1,06:00,22:00,MEGR014
2020.08.06.,Festő-1,06:00,22:00,MEGR014
2020.08.06.,Festő-2,06:00,22:00,MEGR014
2020.08.06.,Festő-3,06:00,22:00,MEGR014
2020.08.06.,Festő-4,06:00,22:00,MEGR014
2020.08.06.,Csomagoló-1,06:00,22:00,MEGR014
2020.08.06.,Csomagoló-2,06:00,22:00,MEGR014
